Measure	Value	Library
File type	Conventional base calls	JVN200_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN200_R2_rmphix_fastqc
Total Sequences	26773896	JVN200_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN200_R2_rmphix_fastqc
Sequence length	50-151	JVN200_R2_rmphix_fastqc
%GC	64	JVN200_R2_rmphix_fastqc
Filename	JVN201_R1_rmphix.fq.gz	JVN201_R1_rmphix_fastqc
File type	Conventional base calls	JVN201_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN201_R1_rmphix_fastqc
Total Sequences	30753183	JVN201_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN201_R1_rmphix_fastqc
Sequence length	50-151	JVN201_R1_rmphix_fastqc
%GC	61	JVN201_R1_rmphix_fastqc
Filename	JVN201_R2_rmphix.fq.gz	JVN201_R2_rmphix_fastqc
File type	Conventional base calls	JVN201_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN201_R2_rmphix_fastqc
Total Sequences	30753183	JVN201_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN201_R2_rmphix_fastqc
Sequence length	50-151	JVN201_R2_rmphix_fastqc
%GC	61	JVN201_R2_rmphix_fastqc
Filename	JVN202_R1_rmphix.fq.gz	JVN202_R1_rmphix_fastqc
File type	Conventional base calls	JVN202_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN202_R1_rmphix_fastqc
Total Sequences	27775128	JVN202_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN202_R1_rmphix_fastqc
Sequence length	50-151	JVN202_R1_rmphix_fastqc
%GC	63	JVN202_R1_rmphix_fastqc
Filename	JVN202_R2_rmphix.fq.gz	JVN202_R2_rmphix_fastqc
File type	Conventional base calls	JVN202_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN202_R2_rmphix_fastqc
Total Sequences	27775128	JVN202_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN202_R2_rmphix_fastqc
Sequence length	50-151	JVN202_R2_rmphix_fastqc
%GC	64	JVN202_R2_rmphix_fastqc
Filename	JVN203_R1_rmphix.fq.gz	JVN203_R1_rmphix_fastqc
File type	Conventional base calls	JVN203_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN203_R1_rmphix_fastqc
Total Sequences	26307890	JVN203_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN203_R1_rmphix_fastqc
Sequence length	50-151	JVN203_R1_rmphix_fastqc
%GC	63	JVN203_R1_rmphix_fastqc
Filename	JVN203_R2_rmphix.fq.gz	JVN203_R2_rmphix_fastqc
File type	Conventional base calls	JVN203_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN203_R2_rmphix_fastqc
Total Sequences	26307890	JVN203_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN203_R2_rmphix_fastqc
Sequence length	50-151	JVN203_R2_rmphix_fastqc
%GC	63	JVN203_R2_rmphix_fastqc
Filename	JVN204_R1_rmphix.fq.gz	JVN204_R1_rmphix_fastqc
File type	Conventional base calls	JVN204_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN204_R1_rmphix_fastqc
Total Sequences	29271821	JVN204_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN204_R1_rmphix_fastqc
Sequence length	50-151	JVN204_R1_rmphix_fastqc
%GC	64	JVN204_R1_rmphix_fastqc
Filename	JVN204_R2_rmphix.fq.gz	JVN204_R2_rmphix_fastqc
File type	Conventional base calls	JVN204_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN204_R2_rmphix_fastqc
Total Sequences	29271821	JVN204_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN204_R2_rmphix_fastqc
Sequence length	50-151	JVN204_R2_rmphix_fastqc
%GC	64	JVN204_R2_rmphix_fastqc
Filename	JVN205_R1_rmphix.fq.gz	JVN205_R1_rmphix_fastqc
File type	Conventional base calls	JVN205_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN205_R1_rmphix_fastqc
Total Sequences	28182019	JVN205_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN205_R1_rmphix_fastqc
Sequence length	50-151	JVN205_R1_rmphix_fastqc
%GC	63	JVN205_R1_rmphix_fastqc
Filename	JVN205_R2_rmphix.fq.gz	JVN205_R2_rmphix_fastqc
File type	Conventional base calls	JVN205_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN205_R2_rmphix_fastqc
Total Sequences	28182019	JVN205_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN205_R2_rmphix_fastqc
Sequence length	50-151	JVN205_R2_rmphix_fastqc
%GC	63	JVN205_R2_rmphix_fastqc
Filename	JVN206_R1_rmphix.fq.gz	JVN206_R1_rmphix_fastqc
File type	Conventional base calls	JVN206_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN206_R1_rmphix_fastqc
Total Sequences	24005175	JVN206_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN206_R1_rmphix_fastqc
Sequence length	50-151	JVN206_R1_rmphix_fastqc
%GC	62	JVN206_R1_rmphix_fastqc
Filename	JVN206_R2_rmphix.fq.gz	JVN206_R2_rmphix_fastqc
File type	Conventional base calls	JVN206_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN206_R2_rmphix_fastqc
Total Sequences	24005175	JVN206_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN206_R2_rmphix_fastqc
Sequence length	50-151	JVN206_R2_rmphix_fastqc
%GC	63	JVN206_R2_rmphix_fastqc
Filename	JVN207_R1_rmphix.fq.gz	JVN207_R1_rmphix_fastqc
File type	Conventional base calls	JVN207_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN207_R1_rmphix_fastqc
Total Sequences	29562669	JVN207_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN207_R1_rmphix_fastqc
Sequence length	50-151	JVN207_R1_rmphix_fastqc
%GC	62	JVN207_R1_rmphix_fastqc
Filename	JVN207_R2_rmphix.fq.gz	JVN207_R2_rmphix_fastqc
File type	Conventional base calls	JVN207_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN207_R2_rmphix_fastqc
Total Sequences	29562669	JVN207_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN207_R2_rmphix_fastqc
Sequence length	50-151	JVN207_R2_rmphix_fastqc
%GC	62	JVN207_R2_rmphix_fastqc
Filename	JVN208_R1_rmphix.fq.gz	JVN208_R1_rmphix_fastqc
File type	Conventional base calls	JVN208_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN208_R1_rmphix_fastqc
Total Sequences	26914163	JVN208_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN208_R1_rmphix_fastqc
Sequence length	50-151	JVN208_R1_rmphix_fastqc
%GC	64	JVN208_R1_rmphix_fastqc
Filename	JVN208_R2_rmphix.fq.gz	JVN208_R2_rmphix_fastqc
File type	Conventional base calls	JVN208_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN208_R2_rmphix_fastqc
Total Sequences	26914163	JVN208_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN208_R2_rmphix_fastqc
Sequence length	50-151	JVN208_R2_rmphix_fastqc
%GC	64	JVN208_R2_rmphix_fastqc
Filename	JVN20_R1_rmphix.fq.gz	JVN20_R1_rmphix_fastqc
File type	Conventional base calls	JVN20_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN20_R1_rmphix_fastqc
Total Sequences	32044059	JVN20_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN20_R1_rmphix_fastqc
Sequence length	50-151	JVN20_R1_rmphix_fastqc
%GC	65	JVN20_R1_rmphix_fastqc
Filename	JVN20_R2_rmphix.fq.gz	JVN20_R2_rmphix_fastqc
File type	Conventional base calls	JVN20_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN20_R2_rmphix_fastqc
Total Sequences	32044059	JVN20_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN20_R2_rmphix_fastqc
Sequence length	50-151	JVN20_R2_rmphix_fastqc
%GC	65	JVN20_R2_rmphix_fastqc
Filename	JVN21_R1_rmphix.fq.gz	JVN21_R1_rmphix_fastqc
File type	Conventional base calls	JVN21_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN21_R1_rmphix_fastqc
Total Sequences	33589773	JVN21_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN21_R1_rmphix_fastqc
Sequence length	50-151	JVN21_R1_rmphix_fastqc
%GC	65	JVN21_R1_rmphix_fastqc
Filename	JVN21_R2_rmphix.fq.gz	JVN21_R2_rmphix_fastqc
File type	Conventional base calls	JVN21_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN21_R2_rmphix_fastqc
Total Sequences	33589773	JVN21_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN21_R2_rmphix_fastqc
Sequence length	50-151	JVN21_R2_rmphix_fastqc
%GC	65	JVN21_R2_rmphix_fastqc
Filename	JVN22_R1_rmphix.fq.gz	JVN22_R1_rmphix_fastqc
File type	Conventional base calls	JVN22_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN22_R1_rmphix_fastqc
Total Sequences	35595743	JVN22_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN22_R1_rmphix_fastqc
Sequence length	50-151	JVN22_R1_rmphix_fastqc
%GC	65	JVN22_R1_rmphix_fastqc
Filename	JVN22_R2_rmphix.fq.gz	JVN22_R2_rmphix_fastqc
File type	Conventional base calls	JVN22_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN22_R2_rmphix_fastqc
Total Sequences	35595743	JVN22_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN22_R2_rmphix_fastqc
Sequence length	50-151	JVN22_R2_rmphix_fastqc
%GC	65	JVN22_R2_rmphix_fastqc
Filename	JVN23_R1_rmphix.fq.gz	JVN23_R1_rmphix_fastqc
File type	Conventional base calls	JVN23_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN23_R1_rmphix_fastqc
Total Sequences	27015478	JVN23_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN23_R1_rmphix_fastqc
Sequence length	50-151	JVN23_R1_rmphix_fastqc
%GC	65	JVN23_R1_rmphix_fastqc
Filename	JVN23_R2_rmphix.fq.gz	JVN23_R2_rmphix_fastqc
File type	Conventional base calls	JVN23_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN23_R2_rmphix_fastqc
Total Sequences	27015478	JVN23_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN23_R2_rmphix_fastqc
Sequence length	50-151	JVN23_R2_rmphix_fastqc
%GC	65	JVN23_R2_rmphix_fastqc
Filename	JVN24_R1_rmphix.fq.gz	JVN24_R1_rmphix_fastqc
File type	Conventional base calls	JVN24_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN24_R1_rmphix_fastqc
Total Sequences	28945732	JVN24_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN24_R1_rmphix_fastqc
Sequence length	50-151	JVN24_R1_rmphix_fastqc
%GC	65	JVN24_R1_rmphix_fastqc
Filename	JVN24_R2_rmphix.fq.gz	JVN24_R2_rmphix_fastqc
File type	Conventional base calls	JVN24_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN24_R2_rmphix_fastqc
Total Sequences	28945732	JVN24_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN24_R2_rmphix_fastqc
Sequence length	50-151	JVN24_R2_rmphix_fastqc
%GC	65	JVN24_R2_rmphix_fastqc
Filename	JVN25_R1_rmphix.fq.gz	JVN25_R1_rmphix_fastqc
File type	Conventional base calls	JVN25_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN25_R1_rmphix_fastqc
Total Sequences	28803656	JVN25_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN25_R1_rmphix_fastqc
Sequence length	50-151	JVN25_R1_rmphix_fastqc
%GC	65	JVN25_R1_rmphix_fastqc
Filename	JVN25_R2_rmphix.fq.gz	JVN25_R2_rmphix_fastqc
File type	Conventional base calls	JVN25_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN25_R2_rmphix_fastqc
Total Sequences	28803656	JVN25_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN25_R2_rmphix_fastqc
Sequence length	50-151	JVN25_R2_rmphix_fastqc
%GC	65	JVN25_R2_rmphix_fastqc
Filename	JVN26_R1_rmphix.fq.gz	JVN26_R1_rmphix_fastqc
File type	Conventional base calls	JVN26_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN26_R1_rmphix_fastqc
Total Sequences	27307851	JVN26_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN26_R1_rmphix_fastqc
Sequence length	50-151	JVN26_R1_rmphix_fastqc
%GC	65	JVN26_R1_rmphix_fastqc
Filename	JVN26_R2_rmphix.fq.gz	JVN26_R2_rmphix_fastqc
File type	Conventional base calls	JVN26_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN26_R2_rmphix_fastqc
Total Sequences	27307851	JVN26_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN26_R2_rmphix_fastqc
Sequence length	50-151	JVN26_R2_rmphix_fastqc
%GC	65	JVN26_R2_rmphix_fastqc
Filename	JVN27_R1_rmphix.fq.gz	JVN27_R1_rmphix_fastqc
File type	Conventional base calls	JVN27_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN27_R1_rmphix_fastqc
Total Sequences	28597711	JVN27_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN27_R1_rmphix_fastqc
Sequence length	50-151	JVN27_R1_rmphix_fastqc
%GC	65	JVN27_R1_rmphix_fastqc
Filename	JVN27_R2_rmphix.fq.gz	JVN27_R2_rmphix_fastqc
File type	Conventional base calls	JVN27_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN27_R2_rmphix_fastqc
Total Sequences	28597711	JVN27_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN27_R2_rmphix_fastqc
Sequence length	50-151	JVN27_R2_rmphix_fastqc
%GC	65	JVN27_R2_rmphix_fastqc
Filename	JVN28_R1_rmphix.fq.gz	JVN28_R1_rmphix_fastqc
File type	Conventional base calls	JVN28_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN28_R1_rmphix_fastqc
Total Sequences	26142566	JVN28_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN28_R1_rmphix_fastqc
Sequence length	50-151	JVN28_R1_rmphix_fastqc
%GC	65	JVN28_R1_rmphix_fastqc
Filename	JVN28_R2_rmphix.fq.gz	JVN28_R2_rmphix_fastqc
File type	Conventional base calls	JVN28_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN28_R2_rmphix_fastqc
Total Sequences	26142566	JVN28_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN28_R2_rmphix_fastqc
Sequence length	50-151	JVN28_R2_rmphix_fastqc
%GC	65	JVN28_R2_rmphix_fastqc
Filename	JVN29_R1_rmphix.fq.gz	JVN29_R1_rmphix_fastqc
File type	Conventional base calls	JVN29_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN29_R1_rmphix_fastqc
Total Sequences	28048959	JVN29_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN29_R1_rmphix_fastqc
Sequence length	50-151	JVN29_R1_rmphix_fastqc
%GC	65	JVN29_R1_rmphix_fastqc
Filename	JVN29_R2_rmphix.fq.gz	JVN29_R2_rmphix_fastqc
File type	Conventional base calls	JVN29_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN29_R2_rmphix_fastqc
Total Sequences	28048959	JVN29_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN29_R2_rmphix_fastqc
Sequence length	50-151	JVN29_R2_rmphix_fastqc
%GC	65	JVN29_R2_rmphix_fastqc
Filename	JVN2_R1_rmphix.fq.gz	JVN2_R1_rmphix_fastqc
File type	Conventional base calls	JVN2_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN2_R1_rmphix_fastqc
Total Sequences	62080892	JVN2_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN2_R1_rmphix_fastqc
Sequence length	50-151	JVN2_R1_rmphix_fastqc
%GC	65	JVN2_R1_rmphix_fastqc
Filename	JVN2_R2_rmphix.fq.gz	JVN2_R2_rmphix_fastqc
File type	Conventional base calls	JVN2_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN2_R2_rmphix_fastqc
Total Sequences	62080892	JVN2_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN2_R2_rmphix_fastqc
Sequence length	50-151	JVN2_R2_rmphix_fastqc
%GC	65	JVN2_R2_rmphix_fastqc
Filename	JVN30_R1_rmphix.fq.gz	JVN30_R1_rmphix_fastqc
File type	Conventional base calls	JVN30_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN30_R1_rmphix_fastqc
Total Sequences	30496885	JVN30_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN30_R1_rmphix_fastqc
Sequence length	50-151	JVN30_R1_rmphix_fastqc
%GC	64	JVN30_R1_rmphix_fastqc
Filename	JVN30_R2_rmphix.fq.gz	JVN30_R2_rmphix_fastqc
File type	Conventional base calls	JVN30_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN30_R2_rmphix_fastqc
Total Sequences	30496885	JVN30_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN30_R2_rmphix_fastqc
Sequence length	50-151	JVN30_R2_rmphix_fastqc
%GC	64	JVN30_R2_rmphix_fastqc
Filename	JVN31_R1_rmphix.fq.gz	JVN31_R1_rmphix_fastqc
File type	Conventional base calls	JVN31_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN31_R1_rmphix_fastqc
Total Sequences	27794115	JVN31_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN31_R1_rmphix_fastqc
Sequence length	50-151	JVN31_R1_rmphix_fastqc
%GC	65	JVN31_R1_rmphix_fastqc
Filename	JVN31_R2_rmphix.fq.gz	JVN31_R2_rmphix_fastqc
File type	Conventional base calls	JVN31_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN31_R2_rmphix_fastqc
Total Sequences	27794115	JVN31_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN31_R2_rmphix_fastqc
Sequence length	50-151	JVN31_R2_rmphix_fastqc
%GC	65	JVN31_R2_rmphix_fastqc
Filename	JVN32_R1_rmphix.fq.gz	JVN32_R1_rmphix_fastqc
File type	Conventional base calls	JVN32_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN32_R1_rmphix_fastqc
Total Sequences	26590225	JVN32_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN32_R1_rmphix_fastqc
Sequence length	50-151	JVN32_R1_rmphix_fastqc
%GC	65	JVN32_R1_rmphix_fastqc
Filename	JVN32_R2_rmphix.fq.gz	JVN32_R2_rmphix_fastqc
File type	Conventional base calls	JVN32_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN32_R2_rmphix_fastqc
Total Sequences	26590225	JVN32_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN32_R2_rmphix_fastqc
Sequence length	50-151	JVN32_R2_rmphix_fastqc
%GC	65	JVN32_R2_rmphix_fastqc
Filename	JVN33_R1_rmphix.fq.gz	JVN33_R1_rmphix_fastqc
File type	Conventional base calls	JVN33_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN33_R1_rmphix_fastqc
Total Sequences	25744887	JVN33_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN33_R1_rmphix_fastqc
Sequence length	50-151	JVN33_R1_rmphix_fastqc
%GC	65	JVN33_R1_rmphix_fastqc
Filename	JVN33_R2_rmphix.fq.gz	JVN33_R2_rmphix_fastqc
File type	Conventional base calls	JVN33_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN33_R2_rmphix_fastqc
Total Sequences	25744887	JVN33_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN33_R2_rmphix_fastqc
Sequence length	50-151	JVN33_R2_rmphix_fastqc
%GC	65	JVN33_R2_rmphix_fastqc
Filename	JVN34_R1_rmphix.fq.gz	JVN34_R1_rmphix_fastqc
File type	Conventional base calls	JVN34_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN34_R1_rmphix_fastqc
Total Sequences	28531979	JVN34_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN34_R1_rmphix_fastqc
Sequence length	50-151	JVN34_R1_rmphix_fastqc
%GC	65	JVN34_R1_rmphix_fastqc
Filename	JVN34_R2_rmphix.fq.gz	JVN34_R2_rmphix_fastqc
File type	Conventional base calls	JVN34_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN34_R2_rmphix_fastqc
Total Sequences	28531979	JVN34_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN34_R2_rmphix_fastqc
Sequence length	50-151	JVN34_R2_rmphix_fastqc
%GC	65	JVN34_R2_rmphix_fastqc
Filename	JVN35_R1_rmphix.fq.gz	JVN35_R1_rmphix_fastqc
File type	Conventional base calls	JVN35_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN35_R1_rmphix_fastqc
Total Sequences	28030143	JVN35_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN35_R1_rmphix_fastqc
Sequence length	50-151	JVN35_R1_rmphix_fastqc
%GC	65	JVN35_R1_rmphix_fastqc
Filename	JVN35_R2_rmphix.fq.gz	JVN35_R2_rmphix_fastqc
File type	Conventional base calls	JVN35_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN35_R2_rmphix_fastqc
Total Sequences	28030143	JVN35_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN35_R2_rmphix_fastqc
Sequence length	50-151	JVN35_R2_rmphix_fastqc
%GC	65	JVN35_R2_rmphix_fastqc
Filename	JVN36_R1_rmphix.fq.gz	JVN36_R1_rmphix_fastqc
File type	Conventional base calls	JVN36_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN36_R1_rmphix_fastqc
Total Sequences	26817758	JVN36_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN36_R1_rmphix_fastqc
Sequence length	50-151	JVN36_R1_rmphix_fastqc
%GC	65	JVN36_R1_rmphix_fastqc
Filename	JVN36_R2_rmphix.fq.gz	JVN36_R2_rmphix_fastqc
File type	Conventional base calls	JVN36_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN36_R2_rmphix_fastqc
Total Sequences	26817758	JVN36_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN36_R2_rmphix_fastqc
Sequence length	50-151	JVN36_R2_rmphix_fastqc
%GC	65	JVN36_R2_rmphix_fastqc
Filename	JVN37_R1_rmphix.fq.gz	JVN37_R1_rmphix_fastqc
File type	Conventional base calls	JVN37_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN37_R1_rmphix_fastqc
Total Sequences	27807833	JVN37_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN37_R1_rmphix_fastqc
Sequence length	50-151	JVN37_R1_rmphix_fastqc
%GC	65	JVN37_R1_rmphix_fastqc
Filename	JVN37_R2_rmphix.fq.gz	JVN37_R2_rmphix_fastqc
File type	Conventional base calls	JVN37_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN37_R2_rmphix_fastqc
Total Sequences	27807833	JVN37_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN37_R2_rmphix_fastqc
Sequence length	50-151	JVN37_R2_rmphix_fastqc
%GC	65	JVN37_R2_rmphix_fastqc
Filename	JVN38_R1_rmphix.fq.gz	JVN38_R1_rmphix_fastqc
File type	Conventional base calls	JVN38_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN38_R1_rmphix_fastqc
Total Sequences	28259216	JVN38_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN38_R1_rmphix_fastqc
Sequence length	50-151	JVN38_R1_rmphix_fastqc
%GC	65	JVN38_R1_rmphix_fastqc
Filename	JVN38_R2_rmphix.fq.gz	JVN38_R2_rmphix_fastqc
File type	Conventional base calls	JVN38_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN38_R2_rmphix_fastqc
Total Sequences	28259216	JVN38_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN38_R2_rmphix_fastqc
Sequence length	50-151	JVN38_R2_rmphix_fastqc
%GC	65	JVN38_R2_rmphix_fastqc
Filename	JVN39_R1_rmphix.fq.gz	JVN39_R1_rmphix_fastqc
File type	Conventional base calls	JVN39_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN39_R1_rmphix_fastqc
Total Sequences	25759152	JVN39_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN39_R1_rmphix_fastqc
Sequence length	50-151	JVN39_R1_rmphix_fastqc
%GC	65	JVN39_R1_rmphix_fastqc
Filename	JVN39_R2_rmphix.fq.gz	JVN39_R2_rmphix_fastqc
File type	Conventional base calls	JVN39_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN39_R2_rmphix_fastqc
Total Sequences	25759152	JVN39_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN39_R2_rmphix_fastqc
Sequence length	50-151	JVN39_R2_rmphix_fastqc
%GC	65	JVN39_R2_rmphix_fastqc
Filename	JVN3_R1_rmphix.fq.gz	JVN3_R1_rmphix_fastqc
File type	Conventional base calls	JVN3_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN3_R1_rmphix_fastqc
Total Sequences	120366571	JVN3_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN3_R1_rmphix_fastqc
Sequence length	50-151	JVN3_R1_rmphix_fastqc
%GC	65	JVN3_R1_rmphix_fastqc
Filename	JVN3_R2_rmphix.fq.gz	JVN3_R2_rmphix_fastqc
File type	Conventional base calls	JVN3_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN3_R2_rmphix_fastqc
Total Sequences	66853784	JVN3_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN3_R2_rmphix_fastqc
Sequence length	50-151	JVN3_R2_rmphix_fastqc
%GC	65	JVN3_R2_rmphix_fastqc
Filename	JVN40_R1_rmphix.fq.gz	JVN40_R1_rmphix_fastqc
File type	Conventional base calls	JVN40_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN40_R1_rmphix_fastqc
Total Sequences	29020965	JVN40_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVN40_R1_rmphix_fastqc
Sequence length	50-151	JVN40_R1_rmphix_fastqc
%GC	65	JVN40_R1_rmphix_fastqc
Filename	JVN40_R2_rmphix.fq.gz	JVN40_R2_rmphix_fastqc
File type	Conventional base calls	JVN40_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN40_R2_rmphix_fastqc
Total Sequences	29020965	JVN40_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVN40_R2_rmphix_fastqc
Sequence length	50-151	JVN40_R2_rmphix_fastqc
%GC	65	JVN40_R2_rmphix_fastqc
Filename	JVN41_R1_rmphix.fq.gz	JVN41_R1_rmphix_fastqc
File type	Conventional base calls	JVN41_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVN41_R1_rmphix_fastqc
